2019_bb_rank,2019_rev_rank,artist_name
1,100,Post Malone
2,99,Ariana Grande
3,98,Billie Eilish
4,97,Khalid
5,96,Drake
6,95,Travis Scott
7,94,Ed Sheeran
8,93,Taylor Swift
9,92,Lil Nas X
10,91,Halsey
11,90,Jonas Brothers
12,89,Juice WRLD
13,88,Cardi B
14,87,DaBaby
15,86,BTS
16,85,Panic! At The Disco
17,84,Luke Combs
18,83,Lil Baby
19,82,Shawn Mendes
20,81,Lizzo
21,80,Meek Mill
22,79,Queen
23,78,Dan + Shay
24,77,A Boogie Wit da Hoodie
25,76,P!nk
26,75,Chris Brown
27,74,XXXTENTACION
28,73,J. Cole
29,72,Elton John
30,71,Imagine Dragons
31,70,Bad Bunny
32,69,Kodak Black
33,68,21 Savage
34,67,YoungBoy Never Broke Again
35,66,Gunna
36,65,Kane Brown
37,64,Lady Gaga
38,63,Marshmello
39,62,Thomas Rhett
40,61,Maroon 5
41,60,Swae Lee
42,59,Camila Cabello
43,58,Sam Smith
44,57,YNW Melly
45,56,The Rolling Stones
46,55,5 Seconds Of Summer
47,54,Lauren Daigle
48,53,Lil Tecca
49,52,Metallica
50,51,Bruno Mars
51,50,Young Thug
52,49,Ella Mai
53,48,Bradley Cooper
54,47,Lewis Capaldi
55,46,Eminem
56,45,Jason Aldean
57,44,NF
58,43,Michael Buble
59,42,Ava Max
60,41,The Beatles
61,40,Normani
62,39,Florida Georgia Line
63,38,twenty one pilots
64,37,Billy Ray Cyrus
65,36,Chris Stapleton
66,35,Summer Walker
67,34,Morgan Wallen
68,33,Bastille
69,32,Offset
70,31,Trippie Redd
71,30,"Tyler, The Creator"
72,29,Future
73,28,Lil Wayne
74,27,Blake Shelton
75,26,Justin Bieber
76,25,City Girls
77,24,Blueface
78,23,Carrie Underwood
79,22,Kanye West
80,21,DJ Khaled
81,20,Billy Joel
82,19,Eagles
83,18,Backstreet Boys
84,17,Paul McCartney
85,16,Megan Thee Stallion
86,15,Maren Morris
87,14,Bazzi
88,13,Mustard
89,12,6ix9ine
90,11,Kendrick Lamar
91,10,Polo G
92,9,Sheck Wes
93,8,Migos
94,7,Lil Uzi Vert
95,6,Nipsey Hussle
96,5,Fleetwood Mac
97,4,The Weeknd
98,3,Eric Church
99,2,benny blanco
100,1,Luke Bryan
