rank,song_name,artist_name,default,last_week,peak_rank,week_chart
1,Nice For What,Drake,+1,2,1,10
2,Psycho,Post Malone Featuring Ty Dolla $ign,-1,1,1,16
3,I Like It,"Cardi B, Bad Bunny & J Balvin",-,3,3,10
4,God's Plan,Drake,+1,5,1,21
5,Girls Like You,Maroon 5 Featuring Cardi B,-1,4,4,3
6,Lucid Dreams,Juice WRLD,+3,9,6,5
7,Boo'd Up,Ella Mai,-1,6,6,11
8,The Middle,"Zedd, Maren Morris & Grey",+2,10,5,20
9,No Tears Left To Cry,Ariana Grande,+4,13,3,8
10,Meant To Be,Bebe Rexha & Florida Georgia Line,+2,12,2,34
11,Yes Indeed,Lil Baby & Drake,+4,15,6,5
12,This Is America,Childish Gambino,-5,7,1,6
13,Friends,Marshmello & Anne-Marie,+1,14,11,18
14,Walk It Talk It,Migos Featuring Drake,+3,17,10,20
15,Mine,Bazzi,+8,23,11,21
16,In My Blood,Shawn Mendes,+4,20,11,13
17,Perfect,Ed Sheeran,+4,21,1,42
18,Look Alive,BlocBoy JB Featuring Drake,+1,19,5,18
19,Never Be The Same,Camila Cabello,-1,18,6,26
20,Better Now,Post Malone,+14,34,7,7
21,Whatever It Takes,Imagine Dragons,+1,22,12,20
22,Back To You,Selena Gomez,+9,31,22,5
23,Be Careful,Cardi B,+2,25,11,11
24,Rockstar,Post Malone Featuring 21 Savage,+5,29,1,39
25,Delicate,Taylor Swift,+12,37,25,14
26,Heaven,Kane Brown,+4,30,15,25
27,Havana,Camila Cabello Featuring Young Thug,+6,33,1,44
28,I'm Upset,Drake,+4,32,19,3
29,Wait,Maroon 5,-3,26,24,22
30,One Kiss,Calvin Harris & Dua Lipa,+8,38,30,10
31,All Mine,Kanye West,-20,11,11,2
32,Tequila,Dan + Shay,+9,41,32,14
33,Plug Walk,Rich The Kid,+2,35,13,18
34,Love Lies,Khalid & Normani,+8,42,34,17
35,New Rules,Dua Lipa,+5,40,6,46
36,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",+7,43,36,8
37,Freaky Friday,Lil Dicky Featuring Chris Brown,+2,39,8,13
38,Taste,Tyga Featuring Offset,+21,59,38,3
39,Reborn,KIDS SEE GHOSTS,-,-,39,1
40,Yikes,Kanye West,-32,8,8,2
41,All Girls Are The Same,Juice WRLD,+8,49,41,5
42,4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,-,-,42,1
43,Chun-Li,Nicki Minaj,+3,46,10,10
44,Pray For Me,The Weeknd & Kendrick Lamar,-,44,7,19
